interview_number,interview_date,interview_time,respondent_gender,respondent_age,respondent_class,respondent_home,number_alters,alter1_gender,alter1_age,alter1_class,alter1_home,alter1_howclose,alter1_howoften,alter2_gender,alter2_age,alter2_class,alter2_home,alter2_howclose,alter2_howoften,alter3_gender,alter3_age,alter3_class,alter3_home,alter3_howclose,alter3_howoften,alter4_gender,alter4_age,alter4_class,alter4_home,alter4_howclose,alter4_howoften,alter5_gender,alter5_age,alter5_class,alter5_home,alter5_howclose,alter5_howoften
3,2022-08-31,11:20:00,Female,20,Junior,LA Area,4,Female,20,Junior,Rest of United States,Close friend,More than once a week,Female,20,Junior,Bay Area,Close friend,More than once a week,Female,21,Senior,LA Area,Close friend,Once a week,Female,21,Junior,LA Area,Close friend,Once a week,NA,NA,NA,NA,NA,NA
1,2022-08-30,16:09:00,Female,21,Senior,LA Area,5,Female,20,Senior,LA Area,Friend,Once a week,Male,22,Other,LA Area,Friend,Once a week,Female,21,Senior,Rest of United States,Friend,Once a week,Female,21,Senior,Rest of United States,Friend,More than once a week,Female,20,Senior,Bay Area,Friend,Once a week
2,2022-08-31,13:50:00,Male,23,Senior,LA Area,6+,Female,21,Senior,LA Area,Close friend,Once a week,Female,59,Other,LA Area,Friend,Once a week,Male,82,Other,Bay Area,Friend,Once a month,Male,23,Other,Rest of United States,Friend,Once a month,Male,24,Other,LA Area,Friend,Once a year
3,2022-08-31,16:00:00,Female,21,Senior,Rest of United States,5,Female,21,Senior,LA Area,Close friend,More than once a week,Female,20,Junior,Rest of United States,Friend,More than once a week,Female,30,Other,Rest of United States,Acquaintance,Once a week,Other,21,Senior,Bay Area,Close friend,More than once a week,Female,20,Senior,LA Area,Friend,Once a week
1,2022-08-30,15:02:00,Female,33,Other,Rest of United States,4,Female,59,Other,Rest of United States,Close friend,Once a week,Female,33,Other,Rest of United States,Friend,Once a week,Female,35,Other,Rest of California,Friend,Once a week,Female,33,Other,Rest of United States,Friend,Once a week,NA,NA,NA,NA,NA,NA
2,2022-08-30,16:17:00,Male,21,Senior,Rest of United States,3,Male,21,Senior,Rest of California,Close friend,More than once a week,Female,22,Other,Bay Area,Close friend,Once a week,Male,25,Other,Rest of World,Close friend,Once a week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2022-08-30,16:25:00,Male,21,Senior,Rest of World,5,Male,25,Other,Rest of United States,Close friend,More than once a week,Male,25,NA,Rest of United States,Close friend,Once a week,Male,50,Other,Rest of World,Close friend,Once a week,Female,50,Other,Rest of World,Close friend,Once a week,Male,30,Other,Rest of California,Close friend,Once a week
1,2020-08-30,14:53:00,Female,21,Senior,Bay Area,5,Female,52,Other,Rest of United States,Close friend,More than once a week,Male,54,Other,Rest of United States,Close friend,More than once a week,Male,14,Other,Bay Area,Close friend,More than once a week,Female,21,Senior,Bay Area,Close friend,More than once a week,Female,21,Senior,Rest of United States,Close friend,More than once a week
2,2022-08-30,22:50:00,Male,20,Junior,LA Area,5,Female,20,Junior,LA Area,Close friend,More than once a week,Male,20,Junior,LA Area,Close friend,Once a week,Female,47,Other,Rest of United States,Close friend,More than once a week,Female,16,Other,LA Area,Friend,More than once a week,Female,20,Other,Rest of World,Acquaintance,Once a month
3,2022-08-30,22:58:00,Female,19,Junior,Bay Area,5,Female,18,Freshman,Bay Area,Close friend,More than once a week,Female,22,Other,Bay Area,Close friend,More than once a week,Female,40,Other,Bay Area,Close friend,More than once a week,Male,50,Other,Bay Area,Close friend,More than once a week,Female,21,Senior,Bay Area,Close friend,Once a week
2,2022-08-31,17:24:00,Female,20,Junior,Bay Area,5,Female,20,Junior,Bay Area,Close friend,More than once a week,Female,20,Junior,Bay Area,Close friend,More than once a week,Female,21,Senior,Rest of California,Close friend,More than once a week,Female,22,Senior,Bay Area,Close friend,More than once a week,Male,23,Other,Bay Area,Close friend,More than once a week
3,2022-08-31,20:00:00,Female,21,Senior,LA Area,5,Female,23,Other,LA Area,Close friend,More than once a week,Female,21,Other,LA Area,Close friend,More than once a week,Female,22,Senior,LA Area,Close friend,More than once a week,Female,20,Junior,Rest of United States,Close friend,More than once a week,Female,22,Senior,Bay Area,Close friend,More than once a week
1,2022-08-30,14:51:00,Female,22,Senior,Bay Area,5,Female,22,Other,Bay Area,Close friend,More than once a week,Female,21,Other,LA Area,Close friend,More than once a week,Female,20,Junior,Bay Area,Close friend,More than once a week,Male,20,Junior,Bay Area,Close friend,More than once a week,Female,21,Senior,LA Area,Close friend,More than once a week
2,2022-08-31,20:00:00,Female,18,Freshman,Rest of World,5,Female,18,Freshman,Rest of World,Close friend,More than once a week,Female,51,Other,Rest of World,Close friend,Once a month,Female,19,Sophomore,Rest of World,Close friend,More than once a week,Male,21,Senior,Bay Area,Close friend,Once a month,Female,20,Sophomore,Rest of World,Close friend,Once a month
3,2022-08-31,20:30:00,Male,21,Senior,Bay Area,5,Male,21,Senior,Bay Area,Close friend,Once a month,Female,20,Junior,Bay Area,Close friend,More than once a week,Male,21,Senior,Bay Area,Close friend,Rarely,Male,21,Senior,Bay Area,Close friend,Once a year,Male,21,Senior,Bay Area,Close friend,Once a year
1,2022-08-30,15:05:00,Male,20,Junior,Bay Area,5,Female,21,Senior,Rest of California,Close friend,More than once a week,Female,20,Junior,Bay Area,Friend,Rarely,Female,19,Junior,Rest of United States,Friend,Once a week,Female,20,Junior,Rest of United States,Friend,Once a month,Male,20,Junior,Bay Area,Acquaintance,Once a week
2,2022-08-31,20:50:00,Female,20,Junior,Rest of California,5,Female,20,Junior,Rest of California,Close friend,More than once a week,Female,20,Junior,Rest of California,Close friend,More than once a week,Female,20,Junior,LA Area,Close friend,More than once a week,Female,19,Sophomore,Rest of United States,Close friend,More than once a week,Female,20,Junior,Rest of United States,Close friend,More than once a week
3,2022-08-31,20:55:00,Female,20,Junior,Rest of United States,5,Female,20,Junior,Bay Area,Close friend,More than once a week,Female,20,Junior,LA Area,Close friend,More than once a week,Female,20,Junior,Rest of California,Close friend,Once a week,Female,20,Junior,Rest of United States,Close friend,Once a month,Male,22,Other,LA Area,Close friend,Once a week
